K H I H	1042 0 1008
V U L D	362 961 0 331 992
A Q R	1243 0 1210
Y F O M	963 0 891 1035
N I R	1243 0 1210
L G	957 0 926
R I D	955 1120 1248 0 922 1280
F U G R	1243 0 1210
K V O G	1046 0 1017
M O E	422 695 968 0 391 999
T P C D	362 575 822 0 331 854
T K V	1046 0 1017
Q S T	907 0 876
S V F	910 0 879
N H I	963 0 930
R E S	910 1097 1248 0 877 1280
T D D	371 0 314 409
K O V F	1046 0 1015
U Y U	345 1008 0 314 1039
N Q I I	965 0 934
M F Q Q	910 0 879
Q Q A	966 0 935
S F I	965 0 934
E U I	422 696 969 0 391 1000
A R A L	1243 0 1210
I N N C	818 922 1025 0 784 1059
H S Y S	930 0 880 1033
O E A M	422 672 922 0 391 953
A U R	1243 0 1210
C Y U O	961 0 788 988
F D U	356 0 308 403
S Y	958 0 881 1035
U P	1057 0 1025
T I V	959 0 928
T W N Q	910 0 879
H L S	910 0 877
N D Y	362 622 916 0 331 945
P Q Y	958 0 881 1035
E O	422 694 966 0 391 997
H A N	875 0 842
C F U M	868 0 788 949
T A O	962 0 931
M S C	818 922 1025 0 784 1059
A R P H	1241 0 1207
A D O Y	362 622 916 0 331 945
R H S	1241 0 1207
G S N	877 0 846
R L N D	955 1120 1248 0 922 1280
F R	1243 0 1210
W D M	362 922 0 331 953
L D I	362 969 0 331 1000
Q D S	362 639 916 0 331 947
V P G	957 0 926
D G A	362 970 0 331 1001
L W Q E	422 695 968 0 391 999
Q M W	936 0 905
Q O U I	965 0 934
T H Q C	814 946 1022 0 781 1059
Y E L F	422 653 918 0 391 947
M W A	966 0 935
P S R E	962 1124 1247 0 930 1280
F I G	957 0 926
F L N S	912 0 881
I C A	830 892 954 0 786 999
I W K	1047 0 1015
D F L	362 961 0 331 992
Q V Y	958 0 881 1035
Q W W T	907 0 876
H S T U	595 0 563
T W F	910 0 879
U V M	918 0 887
T Y W R	1000 1147 1245 0 970 1279
K D W T	913 0 874 1081
O Y	958 0 881 1035
F P C S	865 0 788 943
S P U H	912 0 879
C S A T	863 0 788 938
I E P M	422 672 922 0 391 953
W F N I	965 0 934
H Y F	928 0 878 1033
L H D V	595 796 963 0 563 994
E R W	934 1109 1248 0 901 1280
L M G H	912 0 879
H N W	934 0 901
L A Q	910 0 879
A R I	1243 0 1210
A U L E	422 695 968 0 391 999
F O A E	422 695 968 0 391 999
U F Y	958 0 881 1035
L M W	936 0 905
K S A	1046 0 1018
G I M	918 0 887
Y M K	1015 0 971 1087
F R O	1243 0 1210
D A E	410 0 333 458
C T E	422 605 822 0 391 854
W R C H	908 1108 1248 0 877 1280
A F N	877 0 846
L P S C	818 922 1025 0 784 1059
Q C V Y	899 0 790 943
C R I	962 1125 1247 0 930 1280
E R M	916 1100 1248 0 883 1280
N H R	1241 0 1207
E Q Y M	422 657 926 0 391 954
C M E	422 605 822 0 391 854
R P S H	1241 0 1207
R G W	1243 0 1210
M I P	1057 0 1025
Q V O L	957 0 926
Y L F U	345 1008 0 314 1039
H N D	595 795 961 0 563 992
N F Y N	913 942 972 0 849 1036
L E W	422 681 940 0 391 971
K U G Y	1014 0 972 1087
H R	1241 0 1207
C C K T	844 0 806 940
G A H E	594 798 968 0 562 999
F F D	362 961 0 331 992
O L L E	422 695 968 0 391 999
S K A	1046 0 1018
F E E U	407 0 320 436
G H L W	934 0 901
H A S P	1055 0 1022
N T P	1057 0 1025
W Q N	877 0 846
U Y P R	1000 1147 1245 0 970 1279
K O T Q	1046 0 1015
T O N Y	958 0 881 1035
N S E	422 695 968 0 391 999
U R K T	1240 0 1207
M E N U	386 0 318 453
Y Y M	989 0 894 1017
M I M N	877 0 846
O T M M	918 0 887
E G E R	433 664 907 0 413 939
V G F V	959 0 928
N T Q N	877 0 846
D R K O	1045 1200 1228 0 1014 1278
T I U P	1057 0 1025
S L S D	362 961 0 331 992
F O C	818 922 1025 0 784 1059
H V D L	595 795 961 0 563 992
R I	1243 0 1210
H N C N	832 0 783 910
F Y A	987 0 934 1040
M U I L	957 0 926
M G D O	362 966 0 331 997
N Y F W	972 0 908 1035
U D W C	362 575 821 0 331 854
D G S T	362 637 911 0 331 942
Y R H N	999 1159 1244 0 966 1279
H H	910 0 876
I R C	1024 1159 1243 0 990 1279
N A I K	1047 0 1015
P N N	877 0 846
R L I	1243 0 1210
E O N	422 652 881 0 391 912
D V M	362 922 0 331 953
L W N G	957 0 926
F Q Q	910 0 879
E L G R	899 1091 1248 0 866 1280
H N R S	1241 0 1207
N T V	959 0 928
W A I	965 0 934
W R I	1243 0 1210
W L Q	910 0 879
K O M L	1046 0 1017
L O G	957 0 926
M W A I	965 0 934
C V M H	832 0 783 943
V L Y	958 0 881 1035
D Y K E	420 686 971 0 395 994
D Y L	362 962 0 331 985
A K R	1240 0 1207
L F A N	877 0 846
H U P	1055 0 1022
G Y L	982 0 927 1038
A L V	959 0 928
H O D	595 795 961 0 563 992
D P A M	362 922 0 331 953
K E T	913 0 874 1081
F M	918 0 887
K U C	1030 0 988 1093
L A Y	958 0 881 1035
O T A	966 0 935
N T N R	1243 0 1210
S D S D	371 0 314 409
D O S L	362 961 0 331 992
K W I I	1046 0 1018
W K A	1046 0 1018
E G	422 692 961 0 391 992
P V S	912 0 881
N U H W	934 0 901
K T G Y	1014 0 972 1087
A M K T	1046 0 1015
D G D	371 0 314 409
N S S F	910 0 879
Y R S	1000 1147 1245 0 971 1279
N G G S	912 0 881
P K D C	816 916 1023 0 781 1046
E G Q	422 668 914 0 391 945
T Q G	957 0 926
Y E N	422 636 885 0 391 916
K V H	1044 0 1011
M P G W	936 0 905
T S M	918 0 887
O Q E	422 695 968 0 391 999
M G E	422 695 968 0 391 999
W P F	910 0 879
G M I	965 0 934
F R S	1243 0 1210
E K N I	984 0 933 1080
O F H I	963 0 930
O Q F	910 0 879
F A D	362 961 0 331 992
G R N M	1243 0 1210
D P L F	362 638 914 0 331 945
W L S	912 0 881
P F G	957 0 926
G G O A	966 0 935
A H K	1045 0 1011
O W U T	907 0 876
R T D	955 1120 1248 0 922 1280
A F M	918 0 887
K V L V	1046 0 1017
A M G V	959 0 928
N D	362 961 0 331 992
V K M E	983 0 932 1080
V Q M	918 0 887
R H L	1241 0 1207
W M A O	962 0 931
T E K	896 0 859 1082
C Y	899 0 790 943
N W Q	910 0 879
Q O L N	877 0 846
W T Q	910 0 879
W R S R	1253 0 1232
G R A P	1242 0 1210
R F N	1243 0 1210
L Y H	933 0 882 1033
S G S	912 0 881
W R E T	905 1094 1248 0 872 1280
K F I N	1047 0 1015
W M N I	965 0 934
C Y T U	345 567 821 0 314 854
M L L O	962 0 931
H S O O	960 0 927
K M I	1046 0 1018
I C M	868 0 788 949
M N L	957 0 926
M T C P	816 938 1059 0 784 1092
F V O V	959 0 928
L P S U	345 0 314
T I A L	957 0 926
M V I C	818 922 1025 0 784 1059
G R N	1243 0 1210
G T H R	1241 0 1207
A M L Q	910 0 879
M N S	912 0 881
C I T	863 0 788 938
D Q Q N	362 622 881 0 331 912
R E G	955 1120 1248 0 922 1280
M Q H P	1055 0 1022
U C A	830 892 954 0 786 999
S M U Y	958 0 881 1035
Y P F	959 0 883 1035
O V K	1047 0 1015
T T P K	1047 0 1015
I P Y Q	959 0 883 1035
G S A I	965 0 934
S G H	912 0 879
I V I A	966 0 935
I S G C	818 922 1025 0 784 1059
S M H T	905 0 872
W S P S	912 0 881
C F C	824 0 767 862
R A O L	1243 0 1210
A S Q M	918 0 887
C G Q Q	864 0 788 941
R P P	1242 0 1210
K N E Q	917 0 877 1081
P O H	912 0 879
U A S H	912 0 879
Y C I	964 0 787 990
L K T Q	1046 0 1015
Y L D Y	362 613 920 0 331 951
W E A O	422 694 966 0 391 997
O N S	912 0 881
R D S	910 1097 1248 0 877 1280
Q C M	868 0 788 949
G T L	957 0 926
O E T F	422 668 914 0 391 945
A S U G	957 0 926
N P V S	912 0 881
R D I Q	908 1096 1248 0 875 1280
E H	594 774 917 0 562 949
U A F S	912 0 881
Y H F	928 0 878 1033
Y Q U	345 1008 0 314 1039
V R A	1243 0 1210
P H U	595 0 563
U T I C	818 922 1025 0 784 1059
Q U U D	362 961 0 331 992
S Q A M	918 0 887
O L S	912 0 881
C H T W	826 0 782 966
I A H	912 0 879
C K W	946 0 903 1079
H R S	1241 0 1207
U Q	910 0 879
D L K N	879 1005 1030 0 843 1083
E S W K	896 0 859 1082
H E U N	595 757 880 0 562 912
D R H	910 1108 1248 0 876 1280
R Q P W	1243 0 1210
R R O K	1251 0 1229
V S I	965 0 934
H M L	955 0 922
D G M	362 922 0 331 953
A A P V	959 0 928
L V D P	362 1061 0 331 1092
A Q P	1057 0 1025
D S E R	420 664 907 0 395 939
D O O	362 966 0 331 997
D C	362 575 821 0 331 854
Q N D	362 961 0 331 992
P U Y	958 0 881 1035
U W U O	962 0 931
M C A N	848 0 787 909
M D K U	368 1054 0 347 1085
R V F	1243 0 1210
D P S	362 639 916 0 331 947
P M Q G	957 0 926
A Q O K	1047 0 1015
T Y M	963 0 891 1035
E R T	905 1094 1248 0 872 1280
A T W L	957 0 926
M P Q	910 0 879
S I S H	912 0 879
G I	965 0 934
D M C O	362 575 822 0 331 854
Y D G	362 962 0 331 985
F L Y S	960 0 885 1035
Y L V Q	959 0 883 1035
C P G	835 888 941 0 786 990
I S M	918 0 887
F S A	966 0 935
T M H	912 0 879
C S W	0 787 968
S W U	345 0 314
H E H Y	606 766 916 0 585 945
Q Y N H	933 0 882 1033
Q D G	362 961 0 331 992
K S N	1047 0 1015
S K R	1240 0 1207
W F	910 0 879
I P F U	345 0 314
R S Y K	1048 1202 1228 0 1022 1278
P I K U	1048 0 1015
I L S	912 0 881
L N F	910 0 879
M A K K	1058 0 1037
Q F G	957 0 926
A I K	1047 0 1015
R G R	1253 0 1232
C I P	816 938 1059 0 784 1092
A Q F	910 0 879
H G U	595 0 563
G R K T	1240 0 1207
V M D S	362 639 916 0 331 947
Q I C	818 922 1025 0 784 1059
E O U	386 0 318 453
U P Q V	959 0 928
H V D	595 795 961 0 563 992
D I D	371 0 314 409
W S K	1047 0 1015
D P D I	371 0 314 409
H S D V	595 796 963 0 563 994
V F U Q	910 0 879
K S T F	1046 0 1015
P K P K	1058 0 1037
I K N L	1046 0 1017
H I I	963 0 930
H S Q	908 0 875
V R Q R	1253 0 1232
W O N Q	910 0 879
N A C	818 922 1025 0 784 1059
H T L E	594 798 968 0 562 999
T T T C	818 922 1025 0 784 1059
L G U V	959 0 928
I O W	936 0 905
W A C H	832 0 783 943
U T V	959 0 928
C O U T	863 0 788 938
W Y O	985 0 931 1039
P I E Q	422 668 914 0 391 945
H A T	905 0 872
I V I	965 0 934
W O N K	1047 0 1015
O S F H	912 0 879
M S P I	965 0 934
S P T N	877 0 846
L I M D	362 961 0 331 992
T E N	422 652 881 0 391 912
E G H	594 774 917 0 562 949
L M L	957 0 926
F Q D I	362 969 0 331 1000
A S H K	1045 0 1011
E F C	422 605 821 0 391 854
T F G	957 0 926
R E K	1047 1199 1228 0 1012 1278
C P Q	864 0 788 941
F G V F	910 0 879
E M T	422 667 911 0 391 942
V K A	1046 0 1018
F G I C	818 922 1025 0 784 1059
P P R K	1240 0 1207
E K G	975 0 925 1079
F Q O	962 0 931
Q O K	1047 0 1015
A V U	345 0 314
E P D	410 0 333 458
G E H P	594 844 1061 0 562 1092
U R K V	1240 0 1207
V R Q E	962 1124 1247 0 930 1280
I G O M	918 0 887
O H C	814 946 1022 0 781 1059
E U V	422 693 963 0 391 994
R R	1253 0 1232
O R S	1243 0 1210
K P D	975 0 925 1079
Q U F C	818 922 1025 0 784 1059
K A P Q	1046 0 1015
A N I W	936 0 905
S U G	957 0 926
G L	957 0 926
O P I	965 0 934
L L H E	594 798 968 0 562 999
Q W A	966 0 935
F L T	907 0 876
L Q I	965 0 934
N Q T O	962 0 931
S C	818 922 1025 0 784 1059
H H G L	953 0 919
Y Q G	982 0 927 1038
U S E Q	422 668 914 0 391 945
O Y L	982 0 927 1038
A O F K	1047 0 1015
M L R Q	1243 0 1210
C R P	1058 1183 1235 0 1023 1278
H F L	955 0 922
I O F U	345 0 314
P D H	595 774 917 0 563 949
M I R	1243 0 1210
V V K	1047 0 1015
Y D	362 962 0 331 985
G L O M	918 0 887
I W Q	910 0 879
F N Y U	345 1008 0 314 1039
M F I E	422 695 968 0 391 999
K C S	916 0 880 1080
O A V N	877 0 846
F Q N	877 0 846
R D T N	875 1079 1248 0 843 1280
P O	962 0 931
A A S	912 0 881
P M D H	595 774 917 0 563 949
C W M G	835 888 941 0 786 990
G C Q	864 0 788 941
D C D	375 0 309 411
F M S P	1057 0 1025
O K A	1046 0 1018
O I R	1243 0 1210
D Y V F	362 623 918 0 331 947
K F T S	1046 0 1015
H S T S	910 0 877
T M T	907 0 876
M F	910 0 879
L I Y	958 0 881 1035
E S E	431 0 374 469
U E	422 695 968 0 391 999
A Q T	907 0 876
Y G V H	933 0 882 1033
K O K Q	1058 0 1037
Y N T	957 0 880 1035
I K H E	974 0 929 1080
S V U	345 0 314
L G Q S	912 0 881
V Q Q	910 0 879
G I G	957 0 926
R W R D	1236 0 1200 1302
V D H N	595 757 880 0 563 912
C L H Q	833 0 783 939
A H C G	821 0 782 988
W I I	965 0 934
N K Y	1014 0 972 1087
R N	1243 0 1210
F V E M	422 672 922 0 391 953
W N H	912 0 879
H F O U	595 0 563
K V R	1240 0 1207
P W R H	1241 0 1207
U K G E	983 0 932 1080
O D Q K	896 0 859 1082
V M N	877 0 846
W I U G	957 0 926
E Q N N	422 652 881 0 391 912
R E I Q	908 1096 1248 0 875 1280
H I D O	595 797 966 0 563 997
Y N U E	422 680 967 0 391 990
U V Q P	1057 0 1025
A Y D V	362 963 0 331 987
H M R	1241 0 1207
Y A	987 0 934 1040
W Y R	1000 1147 1245 0 970 1279
Y A V	983 0 928 1038
H U U O	960 0 927
K V K C	1045 0 1019 1108
Y H	933 0 882 1033
E K G I	984 0 933 1080
H O F V	957 0 924
O W M	918 0 887
Q N F	910 0 879
E Q D	410 0 333 458
U M P	1057 0 1025
M Q L	957 0 926
I P P W	936 0 905
P F S	912 0 881
O F I	965 0 934
I K P S	1046 0 1015
A F G	957 0 926
M V T	907 0 876
G V E	422 695 968 0 391 999
R N T G	1243 0 1210
T V D	362 961 0 331 992
Y M U A	987 0 934 1040
W U M	918 0 887
K W C P	1048 0 1009 1106
L U W V	959 0 928
A D N	362 622 881 0 331 912
Q E M I	422 696 969 0 391 1000
Y W U A	987 0 934 1040
L V V K	1047 0 1015
W C F	864 0 788 941
O H H W	932 0 898
S U M S	912 0 881
H D	595 795 961 0 563 992
R H D	953 1131 1247 0 919 1280
U Y O	985 0 931 1039
L L N Q	910 0 879
Q E M	422 672 922 0 391 953
F A A K	1047 0 1015
L Q D	362 961 0 331 992
G W T K	1047 0 1015
C K C V	834 912 948 0 807 994
M N G M	918 0 887
M V E	422 695 968 0 391 999
Q P W	936 0 905
V O N Q	910 0 879
L G L	957 0 926
M T N E	422 695 968 0 391 999
M M R	1243 0 1210
N Q Y	958 0 881 1035
I I O A	966 0 935
Y R Q T	1000 1147 1245 0 971 1279
N N O	962 0 931
L T Q Y	958 0 881 1035
F S W W	936 0 905
Q H A	964 0 931
N L L	957 0 926
V I U	345 0 314
H R M C	1022 1174 1240 0 987 1279
S L L M	918 0 887
Y C S H	878 0 785 947
V H L	955 0 922
S M O	962 0 931
A F F	910 0 879
N L V N	877 0 846
M D A V	362 963 0 331 994
P N G	957 0 926
S K U	1048 0 1015
R C W	932 1109 1248 0 901 1280
Q G Y	958 0 881 1035
O Q W W	936 0 905
G L U O	962 0 931
Y Y U I	994 0 930 1021
Y Q D Q	362 623 918 0 331 947
A P R E	962 1124 1247 0 930 1280
U N A L	957 0 926
O F Y	958 0 881 1035
H W P	1055 0 1022
L H A A	964 0 931
V C R M	914 1100 1248 0 884 1280
I M	918 0 887
D A I	362 969 0 331 1000
Y I L	982 0 927 1038
Y D L H	595 757 922 0 563 950
Y Q T H	933 0 882 1033
D I Q N	362 622 881 0 331 912
F R C	1024 1159 1243 0 990 1279
E U H A	594 799 970 0 562 1001
F I A	966 0 935
Q P V	959 0 928
M R W	1243 0 1210
H L R	1241 0 1207
Q L L	957 0 926
U R N K	1240 0 1207
C W F	864 0 788 941
I N S R	1243 0 1210
U V L	957 0 926
O E A G	422 692 961 0 391 992
K O G	1046 0 1017
C I G N	848 0 787 909
E A L Y	422 652 916 0 391 945
M O T N	877 0 846
V W I	965 0 934
L P U Q	910 0 879
L M A	966 0 935
V U T	907 0 876
A L G M	918 0 887
W N E W	422 681 940 0 391 971
U V N	877 0 846
K M P	1065 0 1045
N R U N	1243 0 1210
K S U	1048 0 1015
C F L F	864 0 788 941
D D D	366 0 307 390
Q C P	816 938 1059 0 784 1092
U Y M S	960 0 885 1035
F O E	422 695 968 0 391 999
Q G M	918 0 887
N K A	1046 0 1018
Q G G	957 0 926
U H I	963 0 930
T W D P	362 1061 0 331 1092
R D R	1236 0 1200 1302
N L K	1047 0 1015
T C C	824 0 767 862
M R A	1243 0 1210
F L V G	957 0 926
O C V N	848 0 787 909
A N O D	362 961 0 331 992
M G L	957 0 926
Y S H T	925 0 875 1033
I Q P	1057 0 1025
D W A	362 970 0 331 1001
F G L	957 0 926
R V E	962 1124 1247 0 930 1280
N U A U	345 0 314
E O E I	431 0 374 469
V L R	1243 0 1210
Q U P S	912 0 881
O H F	908 0 875
E U U	386 0 318 453
R R K D	1233 0 1197 1306
R M M I	1243 0 1210
G N	877 0 846
Y I H V	971 0 925 1041
A W G Y	958 0 881 1035
L R Y M	1000 1147 1245 0 972 1279
M K M	1046 0 1015
Y P I C	828 876 1001 0 785 1024
W I M	918 0 887
N V N	877 0 846
D Q M D	371 0 314 409
K M Y	1014 0 972 1087
I A E I	422 696 969 0 391 1000
G G L S	912 0 881
T Y	958 0 881 1035
H W H O	958 0 924
G U P	1057 0 1025
M N R R	1253 0 1232
N K K	1058 0 1037
F T D P	362 1061 0 331 1092
I K V	1046 0 1017
H U L I	963 0 930
D T Y	362 622 916 0 331 945
A Y L C	828 876 1001 0 785 1024
E T T R	899 1091 1248 0 866 1280
U G	957 0 926
K U W	1046 0 1015
Y Y I	994 0 930 1021
P G L L	957 0 926
W O V	959 0 928
Y O G	982 0 927 1038
C Q Y V	958 0 788 986
F R S A	1243 0 1210
Y L P	1032 0 975 1090
O Q Y	958 0 881 1035
K E K	1041 0 1005 1107
G O Y N	913 942 972 0 849 1036
I F F Q	910 0 879
I G	957 0 926
O L O O	962 0 931
N A O T	907 0 876
H F	908 0 875
L R N	1243 0 1210
S N	877 0 846
V F V	959 0 928
C P U	345 582 819 0 314 850
S U P	1057 0 1025
D H L Y	595 754 916 0 563 945
N C L	835 888 941 0 786 990
L G T	907 0 876
L N T Q	910 0 879
T U A H	912 0 879
Y H E	594 782 967 0 562 990
G F L	957 0 926
U T S S	912 0 881
T M G	957 0 926
Y R A R	1236 0 1200 1302
T I C W	0 787 968
O T G	957 0 926
L G I	965 0 934
Q W U F	910 0 879
C I R W	932 1109 1248 0 901 1280
Q L Q D	362 961 0 331 992
D D	371 0 314 409
R D H O	958 1134 1247 0 924 1280
R I H A	1241 0 1207
G L R	1243 0 1210
K R A Q	1240 0 1207
D C F	362 575 823 0 331 852
H G A	964 0 931
P N C O	832 890 948 0 786 995
O M D F	362 638 914 0 331 945
W A U O	962 0 931
U Q V K	1047 0 1015
G G F	910 0 879
O L N	877 0 846
S K H U	1046 0 1012
W I D	362 961 0 331 992
H V C	814 946 1022 0 781 1059
Y Y Y R	1003 0 956 1033
A E H W	594 785 940 0 562 971
I D K	896 0 859 1082
A U P T	907 0 876
A G Y S	960 0 885 1035
Q N I	965 0 934
L K P	1065 0 1045
R C H	908 1108 1248 0 877 1280
C C R Q	844 0 806 943
P M V	959 0 928
U K	1047 0 1015
Q T M V	959 0 928
T N P Q	910 0 879
U F O N	877 0 846
S S F	910 0 879
L O R	1243 0 1210
O O O	962 0 931
O R L S	1243 0 1210
R W W O	1243 0 1210
K T D L	975 0 925 1079
D U F	362 638 914 0 331 945
Q Y N R	1000 1147 1245 0 970 1279
U O O	962 0 931
D P W	362 940 0 331 971
M H O P	1055 0 1022
L P H	912 0 879
Q T V	959 0 928
Y A E O	422 679 966 0 391 989
S H W	934 0 901
Y L L	982 0 927 1038
P W F F	910 0 879
Y O F	959 0 883 1035
M V Q H	912 0 879
S L C	818 922 1025 0 784 1059
Q M Y Q	959 0 883 1035
E U Q H	594 774 917 0 562 949
A G V	959 0 928
T S S V	959 0 928
R E C S	865 0 785 946
H C W	826 0 782 966
H N H R	1239 0 1204
L O L Q	910 0 879
M M A	966 0 935
A Y M I	986 0 933 1039
Y U W	972 0 908 1035
Q V M F	910 0 879
L D H	595 774 917 0 563 949
E T E	431 0 374 469
S S Y	958 0 881 1035
A Q F H	912 0 879
S V N	877 0 846
E G P	422 1061 0 391 1092
V G K Y	1014 0 972 1087
P T M R	1243 0 1210
K M D	975 0 925 1079
G P U	345 0 314
U K S G	1046 0 1017
V Y O	985 0 931 1039
D C U	364 0 303 405
S L S R	1243 0 1210
A Q H	912 0 879
Q W U	345 0 314
F O I	965 0 934
O O G	957 0 926
U Y W	972 0 908 1035
K G L K	1058 0 1037
O T O U	345 0 314
Q L	957 0 926
H U R C	1022 1174 1240 0 987 1279
G F F R	1243 0 1210
Y Y K	1005 0 960 1043
A W Y N	913 942 972 0 849 1036
G A K F	1046 0 1015
N C O H	832 0 783 943
U R Y	1000 1147 1245 0 971 1279
F E A	422 696 970 0 391 1001
U Y E Q	422 653 918 0 391 947
F Y Q L	982 0 927 1038
Y H L S	930 0 880 1033
F Q D A	362 970 0 331 1001
I F K E	983 0 932 1080
R S A G	1243 0 1210
U H P P	1055 0 1022
O A U Y	958 0 881 1035
I E K Y	979 0 878 1030
Y N A P	1032 0 975 1090
Q L H G	955 0 922
T Q P	1057 0 1025
G U V C	818 922 1025 0 784 1059
S A A E	422 695 968 0 391 999
N S Y	958 0 881 1035
I H T	905 0 872
W Y V T	957 0 880 1035
I H C	814 946 1022 0 781 1059
I R I	1243 0 1210
N W F A	966 0 935
I I	965 0 934
O Y M F	959 0 883 1035
Q S Y Q	959 0 883 1035
E E Q I	431 0 374 469
S T V	959 0 928
H K T	1044 0 1011
N G Q D	362 961 0 331 992
W T A V	959 0 928
U H Y U	595 818 1008 0 563 1039
F V	959 0 928
T N A H	912 0 879
U N F	910 0 879
Y I Y G	992 0 925 1020
Y G H S	930 0 880 1033
F D E W	410 0 333 458
V T H A	964 0 931
N S T	907 0 876
Y R C	1016 0 965 1068
Q D P	362 1061 0 331 1092
G N I	965 0 934
I A	966 0 935
G T G	957 0 926
S Q Y E	422 680 967 0 391 990
E O S	422 669 916 0 391 947
G P I	965 0 934
V D Y	362 622 916 0 331 945
C S V R	897 1091 1248 0 869 1280
C K L	973 0 924 1079
L F C	818 922 1025 0 784 1059
W S A	966 0 935
F P A N	877 0 846
A N G S	912 0 881
M D W	362 940 0 331 971
T Y H Y	979 0 879 1016
M C G I	831 892 953 0 786 998
O P T	907 0 876
R U O	1243 0 1210
O S H	912 0 879
U G O U	345 0 314
P Y S	960 0 885 1035
H A W I	963 0 930
K G P	1065 0 1045
U L N P	1057 0 1025
T H O Y	926 0 876 1033
T Y U	345 1008 0 314 1039
M P C	818 922 1025 0 784 1059
L M S	912 0 881
P R M M	1243 0 1210
D P S V	362 963 0 331 994
R Q G	1243 0 1210
I T G F	910 0 879
U H A A	964 0 931
M G M K	1047 0 1015
I S E P	422 1061 0 391 1092
K O P E	983 0 932 1080
H K C A	975 0 930 1081
M W U	345 0 314
Y M T	957 0 880 1035
O Y T	957 0 880 1035
E D G N	410 0 333 458
S W M K	1047 0 1015
F W M	918 0 887
T E I	422 696 969 0 391 1000
K M T	1046 0 1015
T T U	345 0 314
R L E N	875 1079 1248 0 843 1280
M M R T	1243 0 1210
K Y K L	1042 0 1015 1108
Y T	957 0 880 1035
P V A M	918 0 887
U U F F	910 0 879
G E E	431 0 374 469
C H L	821 0 782 988
V T D G	362 961 0 331 992
A E E S	431 0 374 469
M V Y O	985 0 931 1039
S L V	959 0 928
O Q U	345 0 314
N W V	959 0 928
H U H F	906 0 872
N F	910 0 879
R D N	875 1079 1248 0 843 1280
F S G	957 0 926
F C I E	422 605 822 0 391 854
Q V K	1047 0 1015
H W T A	964 0 931
T S U	345 0 314
D I A	362 970 0 331 1001
L O I P	1057 0 1025
U E M N	422 652 881 0 391 912
W N V	959 0 928
F K F N	1047 0 1015
D T A	362 970 0 331 1001
C M T N	848 0 787 909
T N N	877 0 846
L A M R	1243 0 1210
C O F U	345 582 819 0 314 850
K G W L	1046 0 1017
T K U	1048 0 1015
O W R V	1243 0 1210
V F I	965 0 934
O W W	936 0 905
Q W D P	362 1061 0 331 1092
I L L	957 0 926
C E F	422 605 823 0 391 852
K U K O	1058 0 1038
O R E	962 1124 1247 0 930 1280
A E G	422 692 961 0 391 992
O V C	818 922 1025 0 784 1059
R H P	1240 0 1207
M Y I	986 0 933 1039
W L H	912 0 879
A L L Y	958 0 881 1035
F H I	963 0 930
M H L	955 0 922
E R F N	875 1079 1248 0 843 1280
P V G G	957 0 926
S N O S	912 0 881
C G T	863 0 788 938
I H E A	594 799 970 0 562 1001
M Y I R	1000 1147 1245 0 970 1279
N O G	957 0 926
R M H	1241 0 1207
P N M	918 0 887
R P N D	955 1120 1248 0 922 1280
I L V	959 0 928
S D G	362 961 0 331 992
U K D R	1046 1199 1228 0 1012 1278
N E D Y	417 0 330 462
K V V E	983 0 932 1080
S G O R	1243 0 1210
Q K	1047 0 1015
Q P N S	912 0 881
H T	905 0 872
R U P	1242 0 1210
W F D	362 961 0 331 992
W T H P	1055 0 1022
D A P T	362 637 911 0 331 942
Q M	918 0 887
H W W V	957 0 924
L T H	912 0 879
I L I Y	958 0 881 1035
I L A A	966 0 935
F O	962 0 931
H W E T	594 771 910 0 562 942
L T U	345 0 314
I A P	1057 0 1025
F V V L	957 0 926
P A H	912 0 879
N W C U	345 582 819 0 314 850
M H N Q	908 0 875
V U K	1047 0 1015
V V P	1057 0 1025
A U L I	965 0 934
A O V P	1057 0 1025
P I W	936 0 905
W T A	966 0 935
N O T	907 0 876
E C E	435 0 369 471
N H E L	594 795 961 0 562 992
N T R	1243 0 1210
N Y U D	362 962 0 331 985
Y F	959 0 883 1035
O K W	1046 0 1015
I A W	936 0 905
L K C T	910 0 875 1081
R D G	955 1120 1248 0 922 1280
C N F R	897 1091 1248 0 869 1280
V O Y	958 0 881 1035
D R O	960 1123 1247 0 928 1280
O M F M	918 0 887
L T M	918 0 887
K Q F	1046 0 1015
F Q G	957 0 926
G A N Y	958 0 881 1035
N K C T	910 0 875 1081
H G O D	595 795 961 0 563 992
D E K L	420 692 965 0 395 994
W H E	594 798 968 0 562 999
V Y F C	828 876 1001 0 785 1024
L P H D	595 795 961 0 563 992
K H O D	967 0 922 1079
R O E	962 1124 1247 0 930 1280
M P N G	957 0 926
S Y V P	1032 0 975 1090
K M W Y	1014 0 972 1087
S M E C	422 605 821 0 391 854
Y N N L	982 0 927 1038
G D G U	356 0 308 403
C D N U	364 0 303 405
S K G	1046 0 1017
R Y P V	1004 1148 1245 0 980 1279
A C E T	422 605 823 0 391 852
K M V O	1046 0 1017
V M C	818 922 1025 0 784 1059
V I	965 0 934
K V Y Q	1014 0 972 1087
Q E	422 695 968 0 391 999
U M L	957 0 926
A C R M	914 1100 1248 0 884 1280
G K U	1048 0 1015
F E A R	899 1091 1248 0 866 1280
W I S F	910 0 879
O E P	422 1061 0 391 1092
L A V	959 0 928
A C U	345 582 819 0 314 850
Y E A N	422 636 885 0 391 916
